SAMPLE	SPECIES_NAME_PRINT	FAMILY	TRIBE	SUPERTRIBE	GENUS	Type_status	loci_remaining
S3093	Selenia grandis	Brassicaceae	Cardamineae	Camelinodae (I)	Selenia		1104
S3100	Selenia jonesii	Brassicaceae	Cardamineae	Camelinodae (I)	Selenia		1155
S4381	Selenia mexicana	Brassicaceae	Cardamineae	Camelinodae (I)	Selenia		1142
S4412	Selenia mexicana	Brassicaceae	Cardamineae	Camelinodae (I)	Selenia		1191
PAFTOL_023511	Setchellanthus caeruleus	Setchellanthaceae			Setchellanthus		413
S1691	Shangrilaia nana	Brassicaceae	Euclidieae	Hesperodae (III)	Shangrilaia		1047
S0737	Shangrilaia nana	Brassicaceae	Euclidieae	Hesperodae (III)	Shangrilaia		
S1477	Shangrilaia nana	Brassicaceae	Euclidieae	Hesperodae (III)	Shangrilaia		
S0761	Shehbazia tibetica	Brassicaceae	Shehbazieae	Hesperodae (III)	Shehbazia		552
S1165	Sibara deserti	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibara		
S0447	Sibara mendocina	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibara	Isotype	
S2407	Sibara tehuelches	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibara		1082
S1572	Sibara tehuelches	Brassicaceae	Thelypodieae	Brassicodae (II)	Sibara		
