ACCEPTED	FAMILY	SPECIES_NAME_PRINT	BIONOMIAL	SUBSP_VAR	SUBFAMILY	SUPERTRIBE	TRIBE_FULL	GENUS	GROWTH_FORM	WCVP_WGSRPD_LEVEL_1_native	WCVP_WGSRPD_LEVEL_2_native	WCVP_WGSRPD_LEVEL_3_native	Island_endemic	gbif_matchType	gbif_usageKey	checked_KasperH_if_not_ACCEPTED
Y	Brassicaceae	Goldbachia ikonnikovii	Goldbachia ikonnikovii		Brassicoideae	Brassicodae (II)	Calepineae	Goldbachia	H	3	30, 36, 37	CHI, MON, TVA		EXACT	5376064	
Y	Brassicaceae	Goldbachia laevigata	Goldbachia laevigata		Brassicoideae	Brassicodae (II)	Calepineae	Goldbachia	H	1, 3, 4	14, 30, 32, 33, 34, 35, 36, 37, 40	AFG, CHX, IRN, IRQ, KAZ, KGZ, LBS, MON, PAK, RUE, RUS, SAU, TCS, TKM, TUR, TZK, UZB, WHM, WSB		EXACT	5376058	
Y	Brassicaceae	Goldbachia pendula	Goldbachia pendula		Brassicoideae	Brassicodae (II)	Calepineae	Goldbachia	H	3	32, 33, 34, 36, 37	CHI, CHN, CHQ, CHT, CHX, IRN, KAZ, KGZ, MON, NCS, TKM, TZK		EXACT	5376063	
Y	Brassicaceae	Goldbachia sabulosa	Goldbachia sabulosa		Brassicoideae	Brassicodae (II)	Calepineae	Goldbachia	H	3, 4	32, 34, 36, 40	AFG, CHX, IRN, KAZ, KGZ, PAK, TKM, TZK, UZB		EXACT	7827211	
Y	Brassicaceae	Goldbachia tetragona	Goldbachia tetragona		Brassicoideae	Brassicodae (II)	Calepineae	Goldbachia	H	3	32, 33	KGZ, TCS, TKM, TZK, UZB		EXACT	5376055	
Y	Brassicaceae	Goldbachia torulosa	Goldbachia torulosa		Brassicoideae	Brassicodae (II)	Calepineae	Goldbachia	H	3, 4	32, 33, 34, 36, 40	AFG, CHX, IRN, KAZ, KGZ, NCS, PAK, TCS, TKM, TUR, TZK, UZB, WHM		EXACT	5376059	
Y	Brassicaceae	Goldbachia verrucosa	Goldbachia verrucosa		Brassicoideae	Brassicodae (II)	Calepineae	Goldbachia	H	3, 4	32, 34, 40	AFG, IRN, KAZ, KGZ, PAK, TKM, TZK, UZB		EXACT	5376065	
Y	Brassicaceae	Leiocarpaea cochlearioides	Leiocarpaea cochlearioides		Brassicoideae	Brassicodae (II)	Calepineae	Leiocarpaea	H	1, 3	14, 30, 32, 36, 37	BRY, CHM, CHN, CTA, KAZ, MON, RUE, RUS		EXACT	8374383	
Y	Brassicaceae	Camelina alyssum	Camelina alyssum		Brassicoideae	Camelinodae (I)	Camelineae	Camelina	H	1, 3	11, 13, 14, 32, 33	BLT, BUL, HUN, ITA, KAZ, NCS, ROM, RUC, RUE, RUN, RUW, TCS, UKR, YUG		EXACT	3042399	
Y	Brassicaceae	Camelina alyssum subsp. alyssum	Camelina alyssum	subsp. alyssum	Brassicoideae	Camelinodae (I)	Camelineae	Camelina	H			NA		EXACT	7225550	
Y	Brassicaceae	Camelina alyssum subsp. integerrima	Camelina alyssum	subsp. integerrima	Brassicoideae	Camelinodae (I)	Camelineae	Camelina	H			NA		EXACT	3042400	
Y	Brassicaceae	Camelina anomala	Camelina anomala		Brassicoideae	Camelinodae (I)	Camelineae	Camelina	H	3	34	LBS, TUR		EXACT	3042398	
Y	Brassicaceae	Camelina hispida	Camelina hispida		Brassicoideae	Camelinodae (I)	Camelineae	Camelina	H	2, 3	20, 33, 34	EGY, IRN, IRQ, LBS, PAL, TCS, TUR		EXACT	3042425	
